OrderID,Date,Product,Quantity,UnitPrice,TotalPrice
ORD200789,2023-08-17,Tablet,5,691.28,3456.4
ORD201122,2023-06-07,Monitor,5,678.19,3390.95
ORD200632,2023-05-02,Laptop,5,678.16,3390.8
ORD200469,2023-11-26,Chair,5,676.98,3384.9
ORD200328,2023-02-28,Tablet,5,674.04,3370.2
ORD200107,2023-03-27,Printer,5,670.75,3353.75
ORD200326,2024-07-01,Laptop,5,670.48,3352.4
ORD201065,2023-10-30,Printer,5,666.8,3334.0
ORD201031,2023-02-28,Phone,5,664.51,3322.55
ORD200463,2023-05-26,Laptop,5,662.78,3313.9
ORD200361,2024-06-29,Printer,5,659.85,3299.25
ORD200367,2024-04-25,Laptop,5,658.77,3293.85
ORD200837,2025-06-14,Chair,5,655.55,3277.75
ORD200527,2024-08-19,Chair,5,653.47,3267.35
ORD200768,2023-09-04,Tablet,5,653.46,3267.3
ORD200889,2024-10-27,Monitor,5,650.72,3253.6
ORD200540,2024-01-29,Laptop,5,648.65,3243.25
ORD200802,2024-02-17,Chair,5,644.64,3223.2
ORD200957,2023-01-12,Monitor,5,643.89,3219.45
ORD200086,2024-06-19,Printer,5,643.03,3215.15
ORD200221,2024-02-23,Tablet,5,639.37,3196.85
ORD200967,2025-05-06,Tablet,5,638.92,3194.6
ORD200296,2024-06-19,Desk,5,638.8,3194.0
ORD201079,2024-06-20,Phone,5,634.0,3170.0
ORD200364,2023-11-24,Phone,5,628.74,3143.7
ORD200764,2024-03-10,Laptop,5,627.43,3137.15
ORD200010,2023-12-29,Tablet,5,625.97,3129.85
ORD200820,2023-05-27,Phone,5,623.81,3119.05
ORD200097,2025-01-21,Tablet,5,619.52,3097.6
ORD200241,2023-05-16,Chair,5,615.67,3078.35
ORD200450,2024-01-15,Monitor,5,615.1,3075.5
ORD200876,2024-06-09,Chair,5,608.91,3044.55
ORD200492,2023-10-25,Laptop,5,606.52,3032.6
ORD200633,2024-04-10,Laptop,5,601.72,3008.6
