YearMonth,OrderCount,UnitsSold,TotalRevenue,AverageOrderValue
2023-01,47,146,56685.75,1206.08
2023-02,37,102,40117.66,1084.26
2023-03,43,126,48609.37,1130.45
2023-04,31,84,27751.71,895.22
2023-05,49,148,63836.84,1302.79
2023-06,45,146,49500.19,1100.0
2023-07,44,119,42820.66,973.2
2023-08,51,174,54352.14,1065.73
2023-09,29,86,29526.67,1018.16
2023-10,47,150,52607.85,1119.32
2023-11,41,114,43079.67,1050.72
2023-12,46,129,43754.73,951.19
2024-01,32,102,38528.08,1204.0
2024-02,32,102,36909.57,1153.42
2024-03,36,108,36030.9,1000.86
2024-04,50,147,49613.14,992.26
2024-05,34,95,27909.11,820.86
2024-06,53,166,68068.54,1284.31
2024-07,43,124,42963.98,999.16
2024-08,28,86,31991.07,1142.54
2024-09,44,122,39794.98,904.43
2024-10,31,91,37226.97,1200.87
2024-11,35,97,32413.76,926.11
2024-12,41,111,38785.77,945.99
2025-01,27,80,29099.4,1077.76
2025-02,37,99,35317.55,954.53
2025-03,49,133,39200.66,800.01
2025-04,32,89,31821.2,994.41
2025-05,37,113,43396.64,1172.88
2025-06,49,146,53047.4,1082.6
