OrderID,Date,CustomerID,Product,Quantity,UnitPrice,TotalPrice
ORD200000,2023-01-04,C72649,Monitor,5,570.62,2853.1
ORD200001,2024-08-23,C75739,Phone,2,151.35,302.7
ORD200002,2024-02-27,C81728,Tablet,5,550.68,2753.4
ORD200003,2023-10-15,C33540,Chair,1,273.19,273.19
ORD200004,2025-05-08,C81840,Printer,4,626.01,2504.04
ORD200005,2023-10-23,C37249,Phone,2,245.86,491.72
ORD200006,2025-06-17,C83492,Laptop,1,664.42,664.42
ORD200007,2023-05-12,C41460,Monitor,5,149.55,747.75
ORD200008,2025-04-02,C26817,Phone,2,134.28,268.56
ORD200009,2023-11-21,C31946,Desk,4,509.38,2037.52
